AA	AAL	American Airlines Inc.	Американские авиалинии
AB	BNZ	Bonza Aviation Pty Ltd	Bonza
AB	BER	Air Berlin (Ceased)	Air Berlin
AC	ACA	Air Canada	Эйр Канада
AD	AZU	Azul Brazilian Airlines	Azul
AE	MDA	Mandarin Airlines Ltd.	Mandarin Airlines
AF	AFR	Air France	Эйр Франс
AG	ARU	Aruba Airlines	Aruba Airlines
AH	DAH	Air Algerie	Air Algérie
AI	AIC	Air India Ltd.	Air India
AJ	 	Aztec Worldwide Airlines Inc.	Aztec Worldwide Airlines
AK	AXM	AirAsia Berhad	ЭйрАзия
AL	ALD	Air Leisure (Ceased)	Air Leisure
AM	AMX	Aeromexico	Aeroméxico
AN	WSN	Advanced Air	Advanced Air
AO	 	Air One Aviation Pvt Ltd.	Аир Оне Авиатион Пвт Лтд
AP	LAV	Alba Star.es	Алба Старес
AQ	JYH	9 Air	9 Аир
AQ	AAH	Aloha Airlines (Ceased)	Алоха Аирлинес
AR	ARG	Aerolineas Argentinas S.A.	Эролинеас Аргентинас Са
AS	ASA	Alaska Airlines Inc.	Аласка Аирлинес Инк
AT	RAM	Royal Air Maroc	Royal Air Maroc
AU	AUT	Cielos del Sur S.A.	Киелос Дел Сур Са
AV	AVA	Avianca	Aвианка
AW*	AFW	Africa World Airlines	Africa World Airlines
AX	LOF	Trans States Airlines, LLC	Trans States Airlines
AY	FIN	Finnair	Finnair
AZ	ITY	ITA Airways	ITA Airways
AZ	AZA	Alitalia (Ceased)	Alitalia
A0	ANC	Avianca Argentina (Ceased)	Авианка Аргентина
A2	AZI	Astra Airlines (Ceased)	Астра Аирлинес
A3	AEE	Aegean Airlines	Aegean Airlines
A4	AZO	Azimuth Airlines	Азимут
A5	HOP	HOP!	HOP!
A6	OTC	Hongtu Airline	Хонгту Аирлине
A9	TGZ	Georgian Airways	Georgian Airways
BA	BAW	British Airlines	British Airways
BB	SBS	Seaborne Airlines	Seaborne Airlines
BC	SKY	Skymark Airlines	Skymark Airlines
BD	BYC	Cambodia Bayon Airlines (Ceased)	Камбодиа Баён Аирлинес
BE	BEE	Flybe (Ceased)	Flybe
BF	FBU	French Bee	French Bee
BG	BBC	Biman Bangladesh Airlines	Biman Bangladesh Airlines
BH	BML	Bismillah Airlines	Бисмиллах Аирлинес
BI	RBA	Royal Brunei Airlines	Royal Brunei Airlines
BJ	LBT	Nouvelair Tunisie	Нувелаир Тунисие
BK	OKA	Okay Airways	Okay Airways
BL	PIC	Jetstar Pacific Airlines	Jetstar Pacific
BM	BMR	Flybmi (Ceased)	Флйбми
BO	BBD	Bluebird Nordic	Блуебирд Нордик
BP	BOT	Air Botswana	Аир Ботсвана
BR	EVA	EVA Air	EVA Air
BS	UBG	US-Bangla Airlines	Ус-бангла Аирлинес
BT	BTI	Air Baltic	Аир Балтик
BU	FPY	Compagnie Africaine d'Aviation	Компагние Африкаине Давиатион
BV	BPA	Blue Panorama Airlines S.P.A.	Блуе Панорама Аирлинес Спа
BW	BWA	Caribbean Airlines	Кариббеан Аирлинес
BX	ABL	Air Busan	Аир Бусан
BY	TOM	Thomson Airways Limited	Томсон Аирвайс Лимитед
BZ	BBG	Blue Bird Airways	Блуе Бирд Аирвайс
BZ*	BDA	Blue Dart Aviation Ltd.	Блуе Дарт Авиатион Лтд
B0	DJT	La Compagnie	Ла Компагние
B2	BRU	Belavia Belarusian Airlines	Белавиа
B3	BTN	Bhutan Airlines	Бхутан Аирлинес
B5	EXZ	East African Safari Air Express Ltd.	Еаст Африкан Сафари Аир Експресс Лтд
B6	JBU	Jetblue Airways	JetBlue
B7	UIA	Uni Air	Уни Аир
B8	ERT	Eritrean Airlines	Еритреан Аирлинес
B9	IRB	Iran Airtour Airline	Иран Аиртур Аирлине
CA	CCA	Air China Ltd.	Air China
CB	 	Trans Caribbean Air	Транс Кариббеан Аир
CC	ABD	Air Atlanta Icelandic	Air Atlanta Icelandic
CC*	OMT	CM Airlines	Км Аирлинес
